// @TODO: get more from here:
// https://www.umweltbundesamt.de/daten/energie/energieverbrauch-nach-energietraegern-sektoren

// year, industry, mobility, households, services
1990: 827, 661, 662, 482
2018: 736, 751, 636, 375
